Thursday, 2nd January 2020	5.00pm	Evensong	Quire	sung by Perth College Girls' Choir, Australia	Responses: plainsong
Thursday, 2nd January 2020	5.00pm	Evensong	Quire	sung by Perth College Girls' Choir, Australia	Canticles: Dyson in C minor
Thursday, 2nd January 2020	5.00pm	Evensong	Quire	sung by Perth College Girls' Choir, Australia	Anthem: Ruutel A New Year Carol
Friday, 3rd January 2020	5.00pm	Evensong	Quire	sung by the Choir of St Mary's Church, Wimbledon	Responses: Smith
Friday, 3rd January 2020	5.00pm	Evensong	Quire	sung by the Choir of St Mary's Church, Wimbledon	Canticles: Gibbons Short Service
Friday, 3rd January 2020	5.00pm	Evensong	Quire	sung by the Choir of St Mary's Church, Wimbledon	Anthem: arr Pearsall In dulci jubilo
Saturday, 4th January 2020	3.00pm	Evensong	Quire		Responses: Radcliffe
Saturday, 4th January 2020	3.00pm	Evensong	Quire		Canticles: Brewer in E flat
Saturday, 4th January 2020	3.00pm	Evensong	Quire		Anthem: Howells Sing Lullaby
Saturday, 4th January 2020	3.00pm	Evensong	Quire		Voluntary: Daquin Noël VI
Sunday, 5th January 2020	11.15am	Sung Eucharist	Quire	sung by the Choir of St Peter's Cathedral, Adelaide, Australia	Setting: Dove Missa brevis
Sunday, 5th January 2020	11.15am	Sung Eucharist	Quire	sung by the Choir of St Peter's Cathedral, Adelaide, Australia	Motet: Gjeilo Ubi caritas et amor
Sunday, 5th January 2020	11.15am	Sung Eucharist	Quire	sung by the Choir of St Peter's Cathedral, Adelaide, Australia	Voluntary: Buxtehude Praeludium in D BuxWV 139
Sunday, 5th January 2020	3.00pm	First Evensong of the Epiphany of Our Lord	Quire	sung by the Choir of St Peter's Cathedral, Adelaide, Australia	Responses: Hunt
Sunday, 5th January 2020	3.00pm	First Evensong of the Epiphany of Our Lord	Quire	sung by the Choir of St Peter's Cathedral, Adelaide, Australia	Canticles: Stanford in G
Sunday, 5th January 2020	3.00pm	First Evensong of the Epiphany of Our Lord	Quire	sung by the Choir of St Peter's Cathedral, Adelaide, Australia	Anthem: Dove The Three Kings
Sunday, 5th January 2020	3.00pm	First Evensong of the Epiphany of Our Lord	Quire	sung by the Choir of St Peter's Cathedral, Adelaide, Australia	Voluntary: Bach Wie schön leuchtet der Morgenstern BWV 739
Monday, 6th January 2020	5.00pm	Sung Eucharist	Quire	sung by the Lay Vicars	Setting: Byrd Mass for three voices
Monday, 6th January 2020	5.00pm	Sung Eucharist	Quire	sung by the Lay Vicars	Motet: Byrd Vidimus stellam
Monday, 6th January 2020	5.00pm	Sung Eucharist	Quire	sung by the Lay Vicars	Voluntary: Langlais Fête
Tuesday, 7th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Introit: Moore Behold, O God our defender
Tuesday, 7th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Responses: plainsong
Tuesday, 7th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Canticles: Palestrina Magnificat tertii toni
Tuesday, 7th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Quinney Nunc dimittis
Tuesday, 7th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Anthem: Sheppard Justi in perpetuum vivent
Thursday, 9th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Introit: plainsong Hostis Herodes impie
Thursday, 9th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Responses: plainsong
Thursday, 9th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Canticles: Moore First Service
Thursday, 9th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Anthem: Moore Lo, that is a marvellous change
Friday, 10th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Introit: Handl Omnes de Saba venient
Friday, 10th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Responses: plainsong
Friday, 10th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Canticles: Monte Magnificat octavi toni
Friday, 10th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Reid Nunc dimittis tertii toni
Friday, 10th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Anthem: Palestrina Tui sunt caeli
Saturday, 11th January 2020	3.00pm	First Evensong of the Baptism of Christ	Quire		Introit: Mendelssohn Herr Gott, du bist unsre Zuflucht
Saturday, 11th January 2020	3.00pm	First Evensong of the Baptism of Christ	Quire		Responses: Radcliffe
Saturday, 11th January 2020	3.00pm	First Evensong of the Baptism of Christ	Quire		Canticles: Wood Collegium Regale
Saturday, 11th January 2020	3.00pm	First Evensong of the Baptism of Christ	Quire		Anthem: Mendelssohn When Jesus our Lord
Saturday, 11th January 2020	3.00pm	First Evensong of the Baptism of Christ	Quire		Voluntary: Mendelssohn Prelude and Fugue in D minor
Sunday, 12th January 2020	10.00am	Matins	Quire		Introit: Mendelssohn Herr Gott, du bist unsre Zuflucht
Sunday, 12th January 2020	10.00am	Matins	Quire		Responses: Radcliffe
Sunday, 12th January 2020	10.00am	Matins	Quire		Canticles: Gibbons Short Service
Sunday, 12th January 2020	10.00am	Matins	Quire		Voluntary: Hindemith Lebhaft from Sonata II
Sunday, 12th January 2020	11.15am	Sung Eucharist	Quire		Setting: Byrd Mass for five voices
Sunday, 12th January 2020	11.15am	Sung Eucharist	Quire		Motet: Croce In spiritu humilitatis
Sunday, 12th January 2020	11.15am	Sung Eucharist	Quire		Voluntary: Bach Christ unser Herr zum Jordan kam BWV 684
Sunday, 12th January 2020	3.00pm	Evensong	Quire		Introit: Mendelssohn Herr Gott, du bist unsre Zuflucht
Sunday, 12th January 2020	3.00pm	Evensong	Quire		Responses: Radcliffe
Sunday, 12th January 2020	3.00pm	Evensong	Quire		Canticles: Leighton Magdalen College Service
Sunday, 12th January 2020	3.00pm	Evensong	Quire		Anthem: Dove Seek him that maketh the seven stars
Sunday, 12th January 2020	3.00pm	Evensong	Quire		Voluntary: Dubois Fiat lux
Monday, 13th January 2020	5.00pm	Evensong	Quire	sung by the Choristers	Introit: plainsong Lucis Creator optime
Monday, 13th January 2020	5.00pm	Evensong	Quire	sung by the Choristers	Responses: plainsong
Monday, 13th January 2020	5.00pm	Evensong	Quire	sung by the Choristers	Canticles: Robinson in C
Monday, 13th January 2020	5.00pm	Evensong	Quire	sung by the Choristers	Anthem: arr Parnell Rejoice and be merry
Tuesday, 14th January 2020	5.00pm	Evensong	Quire		Introit: Tallis O nata lux de lumine
Tuesday, 14th January 2020	5.00pm	Evensong	Quire		Responses: Byrd
Tuesday, 14th January 2020	5.00pm	Evensong	Quire		Canticles: Morley First Service
Tuesday, 14th January 2020	5.00pm	Evensong	Quire		Anthem: Bull Almighty God, which by the leading of a star
Thursday, 16th January 2020	5.00pm	Evensong	Quire		Introit: Tallis O nata lux de lumine
Thursday, 16th January 2020	5.00pm	Evensong	Quire		Responses: Byrd
Thursday, 16th January 2020	5.00pm	Evensong	Quire		Canticles: Wood in E flat No 2
Thursday, 16th January 2020	5.00pm	Evensong	Quire		Anthem: Cornelius Die Könige
Friday, 17th January 2020	5.00pm	Evensong	Quire		Introit: Tallis O nata lux de lumine
Friday, 17th January 2020	5.00pm	Evensong	Quire		Responses: Byrd
Friday, 17th January 2020	5.00pm	Evensong	Quire		Canticles: Gibbons Short Service
Friday, 17th January 2020	5.00pm	Evensong	Quire		Anthem: Poulenc Videntes stellam
Saturday, 18th January 2020	3.00pm	Evensong	Quire		Introit: Tallis O nata lux de lumine
Saturday, 18th January 2020	3.00pm	Evensong	Quire		Responses: Byrd
Saturday, 18th January 2020	3.00pm	Evensong	Quire		Canticles: Noble in B minor
Saturday, 18th January 2020	3.00pm	Evensong	Quire		Anthem: Wesley Ascribe unto the Lord
Saturday, 18th January 2020	3.00pm	Evensong	Quire		Voluntary: Harwood Maestoso from Sonata in C sharp minor
Sunday, 19th January 2020	10.00am	Matins	Quire		Introit: Tallis O nata lux de lumine
Sunday, 19th January 2020	10.00am	Matins	Quire		Responses: Byrd
Sunday, 19th January 2020	10.00am	Matins	Quire		Canticles: Ireland in F
Sunday, 19th January 2020	10.00am	Matins	Quire		Voluntary: Litaize Epiphanie
Sunday, 19th January 2020	11.15am	Sung Eucharist	Quire		Setting: Victoria Missa Vidi speciosam
Sunday, 19th January 2020	11.15am	Sung Eucharist	Quire		Motet: Duruflé Ubi caritas et amor
Sunday, 19th January 2020	11.15am	Sung Eucharist	Quire		Voluntary: Duruflé Prélude et fugue sur le nom d'Alain Op 7
Sunday, 19th January 2020	3.00pm	Evensong	Quire		Introit: Tallis O nata lux de lumine
Sunday, 19th January 2020	3.00pm	Evensong	Quire		Responses: Byrd
Sunday, 19th January 2020	3.00pm	Evensong	Quire		Canticles: Wesley in E
Sunday, 19th January 2020	3.00pm	Evensong	Quire		Anthem: Wesley Thou wilt keep him in perfect peace
Sunday, 19th January 2020	3.00pm	Evensong	Quire		Voluntary: Bach Toccata in E BWV 566
Monday, 20th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Introit: Byrd Tui sunt caeli
Monday, 20th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Responses: plainsong
Monday, 20th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Canticles: Ramsey Short Service
Monday, 20th January 2020	5.00pm	Evensong	Quire	sung by the Lay Vicars	Anthem: Purcell Blessed is he that considereth the poor
Tuesday, 21st January 2020	5.00pm	Evensong	Quire		Introit: Batten Lord, we beseech thee
Tuesday, 21st January 2020	5.00pm	Evensong	Quire		Responses: Martin
Tuesday, 21st January 2020	5.00pm	Evensong	Quire		Canticles: Tomkins Fifth Service
Tuesday, 21st January 2020	5.00pm	Evensong	Quire		Anthem: Gibbons See, see the Word is incarnate
Thursday, 23rd January 2020	5.00pm	Evensong	Quire		Introit: Batten Lord, we beseech thee
Thursday, 23rd January 2020	5.00pm	Evensong	Quire		Responses: Martin
Thursday, 23rd January 2020	5.00pm	Evensong	Quire		Canticles: Watson in E
Thursday, 23rd January 2020	5.00pm	Evensong	Quire		Anthem: Elgar Light of the world
Friday, 24th January 2020	5.00pm	First Evensong of the Conversion of St Paul	Quire	attended by HE The High Commissioner for Australia	Introit: Batten Lord, we beseech thee
Friday, 24th January 2020	5.00pm	First Evensong of the Conversion of St Paul	Quire	attended by HE The High Commissioner for Australia	Responses: Smith
Friday, 24th January 2020	5.00pm	First Evensong of the Conversion of St Paul	Quire	attended by HE The High Commissioner for Australia	Canticles: Tomkins First Service
Friday, 24th January 2020	5.00pm	First Evensong of the Conversion of St Paul	Quire	attended by HE The High Commissioner for Australia	Anthem: Bennett These Three
Saturday, 25th January 2020	3.00pm	Evensong	Quire		Introit: Viadana Exultate justi in Domino
Saturday, 25th January 2020	3.00pm	Evensong	Quire		Responses: Martin
Saturday, 25th January 2020	3.00pm	Evensong	Quire		Canticles: Walton Chichester Service
Saturday, 25th January 2020	3.00pm	Evensong	Quire		Anthem: Bairstow Though I speak with the tongues of men
